covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.011387012829604963,0.9886775738188708,0.003171205016597003,-0.01760246044972783,-0.005171565209482093,0.9825515578329169,0.9948417843113224,0.0,-3.590752653962525,0.00032972443352672064,11.566451580737294
family_ownership_pct,-0.0032475761084551427,0.9967576915629042,0.0018186604241679136,-0.006812085039932591,0.0003169328230223059,0.9932110646157287,1.0003169830515357,0.0,-1.7856968048012574,0.07414836300641517,3.75344134751419
state_ownership_pct,-0.005344011664254665,0.9946702421639011,0.0040591400104185585,-0.01329977989288058,0.00261175656437125,0.986788271393226,1.0026151701717372,0.0,-1.3165378997862203,0.18799356646185508,2.411244804220587
foreign_ownership_total_pct,-0.0068353548983174075,0.9931879530038119,0.012743532326117545,-0.03181221929332973,0.018141509496694918,0.968688466006207,1.018307066314942,0.0,-0.5363783543993154,0.5916970880330297,0.7570692998343262
rw_page_rank_4q_lag,0.0021908932916540735,1.0021932950520418,0.005211375587369618,-0.008023215169501647,0.012405001752809794,0.9920088849153295,1.0124822629315424,0.0,0.42040594751296784,0.6741889240371505,0.5687751687932626
rw_out_degree_4q_lag,-0.023414001989612535,0.9768579788993101,0.010497960367790939,-0.043989626221611636,-0.0028383777576134334,0.956963884752821,0.9971656466280581,0.0,-2.2303381961175655,0.025724999231768537,5.280685155739008
camel_roa,-0.0934768148554936,0.9107591332635266,0.011359941757029035,-0.11574189156574316,-0.07121173814524404,0.8907050921273683,0.931264686992849,0.0,-8.228635045391341,1.893587399792711e-16,52.22972750688433
camel_npl_ratio,0.004370015892680818,1.0043795783364016,0.0019194721097237925,0.0006079196882930694,0.008132112097068565,1.0006081045089168,1.008165267534287,0.0,2.276675899870018,0.022805586715014214,5.454468903159277
camel_tier1_capital_ratio,0.016007000882169588,1.016135799228192,0.003792437660867722,0.008573959653255525,0.02344004211108365,1.0086108213201563,1.0237169190011766,0.0,4.220768358920667,2.434710232020424e-05,15.32589039482043
crisis_2014,-0.020918146209268917,0.9792991206341595,0.0934192965922476,-0.2040166029911396,0.1621803105726018,0.8154488321851634,1.1760722804702874,0.0,-0.2239167599449128,0.8228220742766819,0.2813475965734755
foreign_ownership_total_pct_x_crisis_2014,0.021185769224457376,1.0214117808884424,0.016573459267120054,-0.01129761403833953,0.05366915248725428,0.988765964349866,1.0551354554600583,0.0,1.2782949463355333,0.20114544907305879,2.313688997609887
