covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.01836342652972046,0.9818041538361735,0.004419481198834681,-0.027025450509788336,-0.009701402549652585,0.973336469299766,0.990345504246274,0.0,-4.155109096190405,3.251323694044791e-05,14.908613279975409
family_ownership_pct,-0.005523583768280553,0.9944916431718821,0.002203212080252186,-0.009841800095878409,-0.0012053674406826975,0.9902064719276885,0.998795358722857,0.0,-2.507059496355116,0.012174021814564078,6.360050333686575
state_ownership_pct,-0.010152234524795248,0.9898991254549975,0.005003602107898054,-0.019959114449244135,-0.00034535460034636374,0.9802387500886387,0.999654705027689,0.0,-2.0289851802504866,0.042459799791739895,4.557758621172625
foreign_ownership_total_pct,-0.0015631145071907011,0.998438106520006,0.008985532303178768,-0.019174434203342326,0.016048205188960926,0.9810082259288645,1.016177669262012,0.0,-0.17395903263713444,0.8618976584788807,0.21441152066634106
camel_npl_ratio,0.018441093452382012,1.0186121804753443,0.003605716131112536,0.011374019696926339,0.025508167207837686,1.0114389497975331,1.0258362844543738,0.0,5.114405233750904,3.1473104689007487e-07,21.599377162775575
camel_tier1_capital_ratio,0.01892811757510625,1.0191083900021332,0.0035344296571368345,0.012000762741227801,0.025855472408984698,1.0120730608156323,1.0261926246073025,0.0,5.355352747475391,8.538966396392316e-08,23.48136331045283
crisis_2004,-0.32583454945343654,0.7219246203743391,0.2530822568795009,-0.8218666580633727,0.1701975591564996,0.43961028605227354,1.1855390422795098,0.0,-1.2874650063223314,0.19793225904770018,2.336921332550512
family_connection_ratio_x_crisis_2004,-0.013921434186523123,0.9861750208620607,0.026973297629536257,-0.0667881260846938,0.03894525771164756,0.9353933657978583,1.0397135657924426,0.0,-0.5161191033342136,0.6057712263530821,0.7231550419828404
state_ownership_pct_x_crisis_2004,-0.002476035148578974,0.9975270276980227,0.03264635324602588,-0.06646171173736198,0.06150964144020404,0.9356987414496392,1.06344074957977,0.0,-0.07584415723003878,0.9395430848843205,0.08996877366383202
foreign_ownership_total_pct_x_crisis_2004,-0.005937480936759632,0.9940801110685583,0.062407604577422615,-0.12825413826992496,0.1163791763964057,0.8796298031398933,1.1234217664006527,0.0,-0.0951403435040295,0.924203353912046,0.11371776986733766
