variable,Model 2: Stratified by Community,Model 1: Baseline (No Community Control),Model 1: Baseline (No Community FE),Model 3: Within-Community Network Effects
camel_roa,0.863*** (0.035),0.904*** (0.011),0.904*** (0.011),0.863*** (0.035)
family_rho_F,0.992 (0.011),0.970*** (0.008),0.970*** (0.008),0.992 (0.011)
network_out_degree,0.745* (0.095),0.621*** (0.056),0.621*** (0.056),
network_page_rank,0.989 (0.011),0.988+ (0.007),0.988+ (0.007),
camel_npl_ratio,1.007+ (0.004),1.009*** (0.002),1.009*** (0.002),1.007+ (0.004)
camel_tier1_capital_ratio,1.037** (0.013),1.019*** (0.005),1.019*** (0.005),1.037** (0.013)
foreign_FEC_d,0.975 (0.021),0.893*** (0.027),0.893*** (0.027),0.975 (0.021)
family_FOP,0.988+ (0.007),0.997 (0.004),0.997 (0.004),0.988+ (0.007)
Observations,44715,44715,44715,44715
Subjects,796,796,796,796
Events,473,473,473,473
Log Likelihood,-348.12,-2295.65,-2295.65,-348.12
AIC Partial,712.25,4607.29,4607.29,712.25
-log2(p) LLR,27.08,165.75,165.75,27.08
C-index,0.698,0.725,0.725,0.651
network_out_degree_within,,,,0.731* (0.099)
network_page_rank_within,,,,0.988 (0.013)
